session_id,user_id,entry_page,exit_page,session_duration,device,session_date,traffic_source,category_viewed,is_logged_in,add_to_cart,checkout_start,purchase_completed,linked_order_id,bounce_flag
S00001,U0443,카테고리,홈,150,desktop,2025-07-29,direct,패션,Y,N,N,N,,N
S00002,U0389,검색,홈,77,mobile,2025-07-27,paid_search,홈리빙,Y,N,N,N,,N
S00003,U0093,카테고리,홈,226,mobile,2025-07-29,direct,식품,N,N,N,N,,N
S00004,U0471,홈,장바구니,32,mobile,2025-07-16,organic_search,식품,Y,N,N,N,,Y
S00005,U0476,카테고리,장바구니,151,mobile,2025-07-04,organic_search,홈리빙,Y,Y,N,N,,N
S00006,U0498,검색,홈,48,mobile,2025-07-28,paid_search,패션,Y,N,N,N,,N
S00007,U0008,검색,홈,77,mobile,2025-07-19,direct,식품,Y,N,N,N,,N
S00008,U0417,홈,홈,10,mobile,2025-07-12,organic_search,식품,Y,N,N,N,,Y
S00009,U0146,검색,장바구니,302,mobile,2025-07-16,paid_search,패션,N,Y,N,N,,N
S00010,U0480,상품상세,장바구니,225,tablet,2025-07-05,social,패션,Y,Y,N,N,,N
S00011,U0317,카테고리,장바구니,237,desktop,2025-07-16,direct,전자기기,Y,N,N,N,,N
S00012,U0297,홈,홈,154,desktop,2025-07-29,paid_search,패션,Y,N,N,N,,N
S00013,U0158,검색,홈,84,desktop,2025-07-06,organic_search,패션,Y,N,N,N,,N
S00014,U0349,카테고리,홈,165,mobile,2025-07-28,crm_push,패션,Y,N,N,N,,N
S00015,U0353,홈,홈,71,desktop,2025-07-28,organic_search,홈리빙,Y,N,N,N,,N
S00016,U0018,홈,검색,97,mobile,2025-07-27,referral,뷰티,N,N,N,N,,N
S00017,U0413,홈,장바구니,273,desktop,2025-07-10,organic_search,패션,Y,Y,Y,N,,N
S00018,U0256,검색,장바구니,259,tablet,2025-07-30,referral,식품,Y,Y,N,N,,N
S00019,U0221,검색,완료,240,mobile,2025-07-06,crm_push,전자기기,N,Y,Y,Y,O00124,N
S00020,U0139,홈,검색,53,mobile,2025-07-05,direct,식품,Y,N,N,N,,N
S00021,U0071,홈,완료,301,mobile,2025-07-23,organic_search,홈리빙,Y,Y,Y,Y,O00128,N
S00022,U0164,상품상세,홈,261,desktop,2025-07-15,paid_search,식품,Y,N,N,N,,N
S00023,U0371,상품상세,검색,99,desktop,2025-07-22,social,패션,N,N,N,N,,N
S00024,U0184,홈,검색,56,mobile,2025-07-06,organic_search,전자기기,Y,N,N,N,,N
S00025,U0341,상품상세,장바구니,200,desktop,2025-07-19,direct,홈리빙,N,N,N,N,,N
S00026,U0459,검색,홈,153,mobile,2025-07-10,organic_search,전자기기,Y,N,N,N,,N
S00027,U0272,홈,홈,10,mobile,2025-07-14,referral,식품,Y,N,N,N,,Y
S00028,U0360,상품상세,홈,174,mobile,2025-07-28,social,전자기기,Y,N,N,N,,N
S00029,U0407,상품상세,홈,207,mobile,2025-07-02,organic_search,패션,Y,N,N,N,,N
S00030,U0328,상품상세,장바구니,308,mobile,2025-07-05,crm_push,식품,Y,Y,N,N,,N
S00031,U0275,홈,장바구니,190,mobile,2025-07-18,direct,식품,Y,Y,N,N,,N
S00032,U0018,상품상세,검색,59,mobile,2025-07-15,social,식품,Y,N,N,N,,N
S00033,U0102,검색,검색,140,desktop,2025-07-25,social,전자기기,Y,N,N,N,,N
S00034,U0009,검색,홈,10,mobile,2025-07-28,organic_search,뷰티,Y,N,N,N,,Y
S00035,U0102,카테고리,검색,161,desktop,2025-07-10,organic_search,전자기기,Y,N,N,N,,N
S00036,U0135,홈,검색,77,mobile,2025-07-16,direct,홈리빙,Y,N,N,N,,N
S00037,U0486,홈,검색,13,desktop,2025-07-22,organic_search,전자기기,Y,N,N,N,,Y
S00038,U0058,홈,홈,109,desktop,2025-07-05,paid_search,전자기기,N,N,N,N,,N
S00039,U0325,카테고리,결제,204,desktop,2025-07-22,organic_search,뷰티,Y,N,Y,N,,N
S00040,U0320,홈,홈,164,desktop,2025-07-18,social,전자기기,Y,N,N,N,,N
S00041,U0306,홈,홈,115,mobile,2025-07-23,organic_search,식품,N,N,N,N,,N
S00042,U0498,검색,장바구니,115,mobile,2025-07-19,direct,식품,Y,N,Y,N,,N
S00043,U0064,홈,완료,265,mobile,2025-07-12,organic_search,패션,Y,Y,Y,Y,O00143,N
S00044,U0380,상품상세,검색,243,mobile,2025-07-02,paid_search,전자기기,Y,N,N,N,,N
S00045,U0173,홈,장바구니,10,mobile,2025-07-01,social,전자기기,Y,N,N,N,,Y
S00046,U0066,카테고리,검색,203,mobile,2025-07-01,organic_search,패션,Y,N,N,N,,N
S00047,U0352,홈,검색,22,mobile,2025-07-29,organic_search,뷰티,N,N,N,N,,Y
S00048,U0305,검색,홈,63,mobile,2025-07-27,direct,패션,Y,N,N,N,,N
S00049,U0420,검색,홈,266,mobile,2025-07-26,organic_search,뷰티,Y,N,N,N,,N
S00050,U0111,홈,홈,90,mobile,2025-07-24,crm_push,뷰티,Y,N,N,N,,N
S00051,U0220,홈,홈,14,mobile,2025-07-15,direct,홈리빙,Y,N,N,N,,Y
S00052,U0158,홈,홈,105,desktop,2025-07-07,crm_push,홈리빙,Y,N,N,N,,N
S00053,U0278,검색,홈,145,desktop,2025-07-07,social,패션,N,N,N,N,,N
S00054,U0403,홈,홈,70,mobile,2025-07-05,direct,홈리빙,Y,N,N,N,,N
S00055,U0285,상품상세,장바구니,231,mobile,2025-07-11,direct,뷰티,Y,Y,N,N,,N
S00056,U0011,홈,검색,92,mobile,2025-07-09,social,뷰티,Y,N,N,N,,N
S00057,U0267,상품상세,완료,266,mobile,2025-07-03,direct,패션,Y,N,N,Y,O00146,N
S00058,U0085,검색,검색,382,tablet,2025-07-26,organic_search,뷰티,Y,N,N,N,,N
S00059,U0498,상품상세,검색,175,mobile,2025-07-13,organic_search,뷰티,N,N,N,N,,N
S00060,U0073,카테고리,홈,214,mobile,2025-07-07,social,뷰티,N,N,N,N,,N
S00061,U0486,검색,검색,175,desktop,2025-07-14,social,홈리빙,N,N,N,N,,N
S00062,U0482,홈,홈,42,mobile,2025-07-27,organic_search,뷰티,Y,N,N,N,,N
S00063,U0327,상품상세,검색,204,mobile,2025-07-25,referral,전자기기,Y,N,N,N,,N
S00064,U0253,카테고리,홈,275,desktop,2025-07-27,social,홈리빙,Y,N,N,N,,N
S00065,U0307,검색,홈,216,tablet,2025-07-15,direct,홈리빙,N,N,N,N,,N
S00066,U0443,상품상세,검색,309,desktop,2025-07-02,paid_search,홈리빙,N,N,N,N,,N
S00067,U0124,검색,홈,89,mobile,2025-07-21,social,전자기기,Y,N,N,N,,N
S00068,U0471,검색,장바구니,187,mobile,2025-07-17,direct,패션,Y,Y,N,N,,N
S00069,U0361,카테고리,홈,132,mobile,2025-07-26,referral,홈리빙,Y,N,N,N,,N
S00070,U0284,검색,검색,62,mobile,2025-07-18,social,뷰티,Y,N,N,N,,N
S00071,U0159,홈,홈,10,mobile,2025-07-30,crm_push,뷰티,Y,N,N,N,,Y
S00072,U0314,검색,홈,10,mobile,2025-07-15,direct,홈리빙,Y,N,N,N,,Y
S00073,U0276,홈,검색,123,mobile,2025-07-19,crm_push,패션,N,N,N,N,,N
S00074,U0389,검색,결제,343,mobile,2025-07-05,direct,패션,N,Y,Y,N,,N
S00075,U0375,검색,완료,399,mobile,2025-07-25,social,패션,N,Y,Y,Y,O00161,N
S00076,U0119,카테고리,홈,63,mobile,2025-07-16,referral,전자기기,Y,N,N,N,,N
S00077,U0451,카테고리,검색,186,mobile,2025-07-30,organic_search,패션,N,N,N,N,,N
S00078,U0373,홈,홈,95,desktop,2025-07-26,referral,패션,Y,N,N,N,,N
S00079,U0194,상품상세,홈,81,mobile,2025-07-21,social,홈리빙,Y,N,N,N,,N
S00080,U0266,검색,검색,87,mobile,2025-07-04,direct,전자기기,N,N,N,N,,N
S00081,U0421,카테고리,검색,146,mobile,2025-07-13,referral,홈리빙,Y,N,N,N,,N
S00082,U0271,검색,장바구니,330,desktop,2025-07-26,social,식품,Y,N,N,N,,N
S00083,U0055,상품상세,검색,140,desktop,2025-07-12,referral,전자기기,Y,N,N,N,,N
S00084,U0233,상품상세,홈,268,mobile,2025-07-08,paid_search,뷰티,Y,N,N,N,,N
S00085,U0351,검색,완료,270,mobile,2025-07-10,paid_search,패션,N,Y,Y,Y,O00166,N
S00086,U0142,홈,검색,10,mobile,2025-07-20,crm_push,홈리빙,Y,N,N,N,,Y
S00087,U0244,상품상세,홈,197,mobile,2025-07-29,paid_search,전자기기,Y,N,N,N,,N
S00088,U0222,카테고리,검색,106,desktop,2025-07-09,organic_search,뷰티,N,N,N,N,,N
S00089,U0439,홈,완료,290,desktop,2025-07-02,social,홈리빙,Y,Y,Y,Y,O00173,N
S00090,U0470,카테고리,장바구니,203,mobile,2025-07-31,organic_search,전자기기,N,Y,N,N,,N
S00091,U0344,검색,검색,194,desktop,2025-07-28,direct,뷰티,Y,N,N,N,,N
S00092,U0482,검색,홈,154,mobile,2025-07-17,paid_search,전자기기,N,N,N,N,,N
S00093,U0236,검색,장바구니,244,mobile,2025-07-09,organic_search,전자기기,Y,N,N,N,,N
S00094,U0498,홈,장바구니,57,mobile,2025-07-02,organic_search,식품,Y,Y,N,N,,N
S00095,U0121,홈,홈,13,desktop,2025-07-06,social,식품,Y,N,N,N,,Y
S00096,U0128,홈,홈,169,mobile,2025-07-25,organic_search,뷰티,N,N,N,N,,N
S00097,U0129,카테고리,검색,185,desktop,2025-07-05,paid_search,식품,N,N,N,N,,N
S00098,U0075,상품상세,검색,171,mobile,2025-07-03,referral,식품,Y,N,N,N,,N
S00099,U0455,홈,홈,133,desktop,2025-07-22,referral,뷰티,Y,N,N,N,,N
S00100,U0037,상품상세,홈,119,mobile,2025-07-02,referral,전자기기,Y,N,N,N,,N
S00101,U0354,검색,홈,164,mobile,2025-07-08,crm_push,홈리빙,N,N,N,N,,N
S00102,U0006,상품상세,홈,181,desktop,2025-07-29,direct,뷰티,Y,N,N,N,,N
S00103,U0207,홈,검색,142,mobile,2025-07-16,referral,패션,Y,N,N,N,,N
S00104,U0105,홈,검색,10,mobile,2025-07-05,direct,식품,Y,N,N,N,,Y
S00105,U0483,홈,검색,114,desktop,2025-07-25,social,패션,Y,N,N,N,,N
S00106,U0031,검색,홈,10,mobile,2025-07-02,organic_search,뷰티,N,N,N,N,,Y
S00107,U0432,카테고리,결제,234,mobile,2025-07-08,direct,전자기기,Y,Y,Y,N,,N
S00108,U0052,상품상세,장바구니,246,tablet,2025-07-17,social,패션,N,N,N,N,,N
S00109,U0466,홈,홈,143,mobile,2025-07-15,organic_search,전자기기,Y,N,N,N,,N
S00110,U0058,상품상세,홈,227,mobile,2025-07-03,referral,뷰티,N,N,N,N,,N
S00111,U0095,홈,홈,152,mobile,2025-07-25,organic_search,식품,Y,N,N,N,,N
S00112,U0236,상품상세,장바구니,332,mobile,2025-07-27,direct,뷰티,Y,Y,Y,N,,N
S00113,U0049,상품상세,완료,288,mobile,2025-07-11,crm_push,패션,N,N,N,Y,O00215,N
S00114,U0288,홈,홈,13,mobile,2025-07-03,organic_search,식품,Y,N,N,N,,Y
S00115,U0457,검색,장바구니,191,mobile,2025-07-11,crm_push,식품,Y,N,N,N,,N
S00116,U0303,상품상세,장바구니,285,mobile,2025-07-14,social,뷰티,Y,Y,N,N,,N
S00117,U0100,검색,홈,122,mobile,2025-07-18,direct,뷰티,Y,N,N,N,,N
S00118,U0312,검색,검색,189,mobile,2025-07-14,direct,뷰티,Y,N,N,N,,N
S00119,U0224,검색,완료,281,desktop,2025-07-12,paid_search,식품,Y,Y,Y,Y,O00265,N
S00120,U0485,검색,검색,160,mobile,2025-07-29,crm_push,패션,Y,N,N,N,,N
S00121,U0471,검색,완료,478,desktop,2025-07-16,social,식품,Y,Y,Y,Y,O00275,N
S00122,U0295,상품상세,장바구니,347,mobile,2025-07-31,direct,뷰티,Y,Y,N,N,,N
S00123,U0128,검색,검색,368,mobile,2025-07-12,social,뷰티,Y,Y,Y,N,,N
S00124,U0066,홈,검색,10,mobile,2025-07-05,social,식품,Y,N,N,N,,Y
S00125,U0435,홈,장바구니,136,mobile,2025-07-09,social,홈리빙,N,Y,N,N,,N
S00126,U0227,홈,홈,10,mobile,2025-07-24,direct,뷰티,N,N,N,N,,Y
S00127,U0136,검색,홈,303,mobile,2025-07-03,referral,홈리빙,Y,N,N,N,,N
S00128,U0470,검색,장바구니,259,desktop,2025-07-03,social,전자기기,Y,N,N,N,,N
S00129,U0178,홈,홈,89,desktop,2025-07-12,social,식품,Y,N,N,N,,N
S00130,U0411,검색,결제,264,mobile,2025-07-31,organic_search,전자기기,Y,Y,Y,N,,N
S00131,U0457,카테고리,검색,194,desktop,2025-07-14,social,패션,Y,N,N,N,,N
S00132,U0281,홈,장바구니,10,mobile,2025-07-26,paid_search,홈리빙,N,N,N,N,,Y
S00133,U0467,홈,홈,133,mobile,2025-07-22,social,패션,Y,N,N,N,,N
S00134,U0107,검색,검색,214,mobile,2025-07-29,paid_search,홈리빙,N,N,N,N,,N
S00135,U0161,홈,검색,86,mobile,2025-07-09,crm_push,홈리빙,N,N,N,N,,N
S00136,U0470,검색,검색,224,mobile,2025-07-28,crm_push,패션,Y,N,N,N,,N
S00137,U0461,홈,홈,50,mobile,2025-07-31,organic_search,식품,Y,N,N,N,,N
S00138,U0101,상품상세,장바구니,309,mobile,2025-07-16,social,뷰티,Y,Y,N,N,,N
S00139,U0147,카테고리,검색,72,mobile,2025-07-22,organic_search,패션,Y,N,N,N,,N
S00140,U0156,카테고리,검색,206,mobile,2025-07-12,direct,전자기기,N,N,N,N,,N
S00141,U0149,카테고리,검색,177,mobile,2025-07-12,direct,홈리빙,N,N,N,N,,N
S00142,U0030,검색,완료,208,mobile,2025-07-24,direct,뷰티,N,Y,Y,Y,O00279,N
S00143,U0458,상품상세,홈,347,desktop,2025-07-04,direct,뷰티,N,N,N,N,,N
S00144,U0349,검색,홈,151,mobile,2025-07-25,crm_push,식품,N,N,N,N,,N
S00145,U0023,상품상세,홈,188,mobile,2025-07-02,organic_search,패션,N,N,N,N,,N
S00146,U0209,상품상세,장바구니,255,desktop,2025-07-21,direct,전자기기,Y,N,N,N,,N
S00147,U0303,검색,홈,162,tablet,2025-07-31,direct,패션,Y,N,N,N,,N
S00148,U0474,홈,홈,75,mobile,2025-07-15,social,홈리빙,Y,N,N,N,,N
S00149,U0021,검색,검색,92,mobile,2025-07-31,paid_search,식품,N,N,N,N,,N
S00150,U0432,검색,완료,299,tablet,2025-07-06,social,홈리빙,Y,N,N,Y,O00342,N
